model_name,pw_name,dataset_name,acc,f1,mcc,tp,fp,tn,fn,recall,precision,specifity,fpr,tpr,fnr,fdr
svc,amine_and_polyamine,test_df,0.9950819672131147,0.923076923076923,0.9234712923525169,18,0,589,3,0.8571428571428571,1.0,1.0,0.0,0.8571428571428571,0.14285714285714285,0.0
nb,amine_and_polyamine,test_df,0.8754098360655738,0.3090909090909091,0.35496771623934115,17,72,517,4,0.8095238095238095,0.19101123595505617,0.8777589134125636,0.12224108658743633,0.8095238095238095,0.19047619047619047,0.8089887640449438
dt,amine_and_polyamine,test_df,0.9934426229508196,0.9,0.8978191795154423,18,1,588,3,0.8571428571428571,0.9473684210526315,0.99830220713073,0.001697792869269949,0.8571428571428571,0.14285714285714285,0.05263157894736842
mlp,amine_and_polyamine,test_df,0.9967213114754099,0.9523809523809523,0.9506831595116825,20,1,588,1,0.9523809523809523,0.9523809523809523,0.99830220713073,0.001697792869269949,0.9523809523809523,0.047619047619047616,0.047619047619047616
svc,nitrogen,test_df,0.9950819672131147,0.923076923076923,0.9234712923525169,18,0,589,3,0.8571428571428571,1.0,1.0,0.0,0.8571428571428571,0.14285714285714285,0.0
nb,nitrogen,test_df,0.8098360655737705,0.2368421052631579,0.29537678764067793,18,113,476,3,0.8571428571428571,0.13740458015267176,0.8081494057724957,0.19185059422750425,0.8571428571428571,0.14285714285714285,0.8625954198473282
dt,nitrogen,test_df,0.9918032786885246,0.8717948717948718,0.870338158195279,17,1,588,4,0.8095238095238095,0.9444444444444444,0.99830220713073,0.001697792869269949,0.8095238095238095,0.19047619047619047,0.05555555555555555
mlp,nitrogen,test_df,0.9967213114754099,0.9500000000000001,0.9495789091727923,19,0,589,2,0.9047619047619048,1.0,1.0,0.0,0.9047619047619048,0.09523809523809523,0.0
svc,carbohydrate,test_df,0.9950819672131147,0.923076923076923,0.9234712923525169,18,0,589,3,0.8571428571428571,1.0,1.0,0.0,0.8571428571428571,0.14285714285714285,0.0
nb,carbohydrate,test_df,0.8721311475409836,0.3157894736842105,0.37015992787921725,18,75,514,3,0.8571428571428571,0.1935483870967742,0.8726655348047538,0.1273344651952462,0.8571428571428571,0.14285714285714285,0.8064516129032258
dt,carbohydrate,test_df,0.9950819672131147,0.923076923076923,0.9234712923525169,18,0,589,3,0.8571428571428571,1.0,1.0,0.0,0.8571428571428571,0.14285714285714285,0.0
mlp,carbohydrate,test_df,0.9967213114754099,0.9500000000000001,0.9495789091727923,19,0,589,2,0.9047619047619048,1.0,1.0,0.0,0.9047619047619048,0.09523809523809523,0.0
svc,phospholipid,test_df,0.9967213114754099,0.9500000000000001,0.9495789091727923,19,0,589,2,0.9047619047619048,1.0,1.0,0.0,0.9047619047619048,0.09523809523809523,0.0
nb,phospholipid,test_df,0.9737704918032787,0.7037037037037038,0.7100595610248066,19,14,575,2,0.9047619047619048,0.5757575757575758,0.9762308998302207,0.023769100169779286,0.9047619047619048,0.09523809523809523,0.42424242424242425
dt,phospholipid,test_df,0.9934426229508196,0.9,0.8978191795154423,18,1,588,3,0.8571428571428571,0.9473684210526315,0.99830220713073,0.001697792869269949,0.8571428571428571,0.14285714285714285,0.05263157894736842
mlp,phospholipid,test_df,0.9967213114754099,0.9523809523809523,0.9506831595116825,20,1,588,1,0.9523809523809523,0.9523809523809523,0.99830220713073,0.001697792869269949,0.9523809523809523,0.047619047619047616,0.047619047619047616
svc,energy,test_df,0.9950819672131147,0.923076923076923,0.9234712923525169,18,0,589,3,0.8571428571428571,1.0,1.0,0.0,0.8571428571428571,0.14285714285714285,0.0
nb,energy,test_df,0.8032786885245902,0.23076923076923078,0.28920786860558906,18,117,472,3,0.8571428571428571,0.13333333333333333,0.801358234295416,0.19864176570458403,0.8571428571428571,0.14285714285714285,0.8666666666666667
dt,energy,test_df,0.9934426229508196,0.9,0.8978191795154423,18,1,588,3,0.8571428571428571,0.9473684210526315,0.99830220713073,0.001697792869269949,0.8571428571428571,0.14285714285714285,0.05263157894736842
mlp,energy,test_df,0.9950819672131147,0.9268292682926829,0.92458080881035,19,1,588,2,0.9047619047619048,0.95,0.99830220713073,0.001697792869269949,0.9047619047619048,0.09523809523809523,0.05
svc,secondary_metabolite,test_df,0.9950819672131147,0.923076923076923,0.9234712923525169,18,0,589,3,0.8571428571428571,1.0,1.0,0.0,0.8571428571428571,0.14285714285714285,0.0
nb,secondary_metabolite,test_df,0.9655737704918033,0.6440677966101696,0.658180224098807,19,19,570,2,0.9047619047619048,0.5,0.967741935483871,0.03225806451612903,0.9047619047619048,0.09523809523809523,0.5
dt,secondary_metabolite,test_df,0.9901639344262295,0.8571428571428571,0.8520494785350473,18,3,586,3,0.8571428571428571,0.8571428571428571,0.9949066213921901,0.0050933786078098476,0.8571428571428571,0.14285714285714285,0.14285714285714285
mlp,secondary_metabolite,test_df,0.9950819672131147,0.9268292682926829,0.92458080881035,19,1,588,2,0.9047619047619048,0.95,0.99830220713073,0.001697792869269949,0.9047619047619048,0.09523809523809523,0.05
svc,nucleotide_sugar,test_df,0.9950819672131147,0.923076923076923,0.9234712923525169,18,0,589,3,0.8571428571428571,1.0,1.0,0.0,0.8571428571428571,0.14285714285714285,0.0
nb,nucleotide_sugar,test_df,0.8311475409836065,0.25899280575539574,0.3172709075082745,18,100,489,3,0.8571428571428571,0.15254237288135594,0.830220713073005,0.1697792869269949,0.8571428571428571,0.14285714285714285,0.847457627118644
dt,nucleotide_sugar,test_df,0.9918032786885246,0.8780487804878048,0.8740889293677078,18,2,587,3,0.8571428571428571,0.9,0.9966044142614601,0.003395585738539898,0.8571428571428571,0.14285714285714285,0.1
mlp,nucleotide_sugar,test_df,0.9950819672131147,0.9268292682926829,0.92458080881035,19,1,588,2,0.9047619047619048,0.95,0.99830220713073,0.001697792869269949,0.9047619047619048,0.09523809523809523,0.05
svc,aromatic_compound,test_df,0.9950819672131147,0.923076923076923,0.9234712923525169,18,0,589,3,0.8571428571428571,1.0,1.0,0.0,0.8571428571428571,0.14285714285714285,0.0
nb,aromatic_compound,test_df,0.8360655737704918,0.2647058823529412,0.3227814386269541,18,97,492,3,0.8571428571428571,0.1565217391304348,0.8353140916808149,0.16468590831918506,0.8571428571428571,0.14285714285714285,0.8434782608695652
dt,aromatic_compound,test_df,0.9934426229508196,0.9,0.8978191795154423,18,1,588,3,0.8571428571428571,0.9473684210526315,0.99830220713073,0.001697792869269949,0.8571428571428571,0.14285714285714285,0.05263157894736842
mlp,aromatic_compound,test_df,0.9983606557377049,0.975609756097561,0.9750726882529922,20,0,589,1,0.9523809523809523,1.0,1.0,0.0,0.9523809523809523,0.047619047619047616,0.0
svc,protein_modification,test_df,0.9950819672131147,0.923076923076923,0.9234712923525169,18,0,589,3,0.8571428571428571,1.0,1.0,0.0,0.8571428571428571,0.14285714285714285,0.0
nb,protein_modification,test_df,0.8704918032786885,0.30088495575221236,0.34754691091222767,17,75,514,4,0.8095238095238095,0.18478260869565216,0.8726655348047538,0.1273344651952462,0.8095238095238095,0.19047619047619047,0.8152173913043478
dt,protein_modification,test_df,0.9934426229508196,0.9,0.8978191795154423,18,1,588,3,0.8571428571428571,0.9473684210526315,0.99830220713073,0.001697792869269949,0.8571428571428571,0.14285714285714285,0.05263157894736842
mlp,protein_modification,test_df,0.9950819672131147,0.9268292682926829,0.92458080881035,19,1,588,2,0.9047619047619048,0.95,0.99830220713073,0.001697792869269949,0.9047619047619048,0.09523809523809523,0.05
svc,carotenoid,test_df,0.9950819672131147,0.923076923076923,0.9234712923525169,18,0,589,3,0.8571428571428571,1.0,1.0,0.0,0.8571428571428571,0.14285714285714285,0.0
nb,carotenoid,test_df,0.8114754098360656,0.23841059602649006,0.2969575414328324,18,112,477,3,0.8571428571428571,0.13846153846153847,0.8098471986417657,0.19015280135823429,0.8571428571428571,0.14285714285714285,0.8615384615384616
dt,carotenoid,test_df,0.9934426229508196,0.9,0.8978191795154423,18,1,588,3,0.8571428571428571,0.9473684210526315,0.99830220713073,0.001697792869269949,0.8571428571428571,0.14285714285714285,0.05263157894736842
mlp,carotenoid,test_df,0.9950819672131147,0.9268292682926829,0.92458080881035,19,1,588,2,0.9047619047619048,0.95,0.99830220713073,0.001697792869269949,0.9047619047619048,0.09523809523809523,0.05
svc,amino_acid,test_df,0.9950819672131147,0.923076923076923,0.9234712923525169,18,0,589,3,0.8571428571428571,1.0,1.0,0.0,0.8571428571428571,0.14285714285714285,0.0
nb,amino_acid,test_df,0.8655737704918033,0.2931034482758621,0.3404490320771,17,78,511,4,0.8095238095238095,0.17894736842105263,0.8675721561969439,0.13242784380305603,0.8095238095238095,0.19047619047619047,0.8210526315789474
dt,amino_acid,test_df,0.9934426229508196,0.9,0.8978191795154423,18,1,588,3,0.8571428571428571,0.9473684210526315,0.99830220713073,0.001697792869269949,0.8571428571428571,0.14285714285714285,0.05263157894736842
mlp,amino_acid,test_df,0.9967213114754099,0.9500000000000001,0.9495789091727923,19,0,589,2,0.9047619047619048,1.0,1.0,0.0,0.9047619047619048,0.09523809523809523,0.0
svc,lipid,test_df,0.9967213114754099,0.9500000000000001,0.9495789091727923,19,0,589,2,0.9047619047619048,1.0,1.0,0.0,0.9047619047619048,0.09523809523809523,0.0
nb,lipid,test_df,0.9754098360655737,0.7169811320754718,0.7218332560348849,19,13,576,2,0.9047619047619048,0.59375,0.9779286926994907,0.022071307300509338,0.9047619047619048,0.09523809523809523,0.40625
dt,lipid,test_df,0.9934426229508196,0.9,0.8978191795154423,18,1,588,3,0.8571428571428571,0.9473684210526315,0.99830220713073,0.001697792869269949,0.8571428571428571,0.14285714285714285,0.05263157894736842
mlp,lipid,test_df,0.9967213114754099,0.9500000000000001,0.9495789091727923,19,0,589,2,0.9047619047619048,1.0,1.0,0.0,0.9047619047619048,0.09523809523809523,0.0
